BasicUser(name='Kasong', score=4)
BasicUser(name='frcjasonc', score=2)
BasicUser(name='Bielsancosta', score=2)
BasicUser(name='Haluvibe', score=0)
BasicUser(name='Olsenerik33', score=2)
BasicUser(name='evgkogur', score=0)
BasicUser(name='colinfox0', score=3)
BasicUser(name='icantanymore', score=3)
BasicUser(name='fraerSTATA', score=0)
BasicUser(name='acecourier', score=2)
BasicUser(name='LeonJador', score=3)
BasicUser(name='KudosOhOh', score=0)
BasicUser(name='Skydrol', score=0)
BasicUser(name='Hylianpo', score=0)
BasicUser(name='thomc', score=0)
BasicUser(name='aimineye1917', score=0)
BasicUser(name='cdprAreScammers', score=0)
BasicUser(name='Jericho115', score=0)
BasicUser(name='AheadApocalypse', score=0)
BasicUser(name='donniepurser', score=0)
BasicUser(name='Danifilthee222', score=0)
BasicUser(name='Marsev', score=0)
BasicUser(name='Lozabia42969', score=0)
BasicUser(name='maqn39', score=3)
BasicUser(name='MACBX', score=7)
BasicUser(name='x22HADOUKEN', score=4)
BasicUser(name='Dicky89', score=4)
BasicUser(name='TurboTemple', score=6)
BasicUser(name='elwarrior', score=10)
BasicUser(name='Ungrateful', score=0)
BasicUser(name='Dakotaray', score=0)
BasicUser(name='YukiRuu', score=2)
BasicUser(name='dapperstache', score=6)
BasicUser(name='Thiagorm84', score=2)
BasicUser(name='Spot1chka', score=2)
BasicUser(name='Mikey2D', score=2)
BasicUser(name='BonMorane', score=3)
BasicUser(name='bajceps', score=3)
BasicUser(name='JAMes-BroWWWn', score=0)
BasicUser(name='Zooki', score=5)
BasicUser(name='Turbo123', score=0)
BasicUser(name='Sarimk88', score=1)
BasicUser(name='Whocares897', score=0)
BasicUser(name='Sargarus', score=2)
BasicUser(name='WishIHadAngel', score=1)
BasicUser(name='Yumit', score=2)
BasicUser(name='Mssyer_Fas', score=4)
BasicUser(name='Rawmusse', score=0)
BasicUser(name='Bubah', score=2)
BasicUser(name='Username_9', score=1)
BasicUser(name='Kavaciklee', score=0)
BasicUser(name='ludwig71', score=0)
BasicUser(name='Immortalsoul', score=0)
BasicUser(name='Saijax05', score=0)
BasicUser(name='ALLAHPARTY', score=0)
BasicUser(name='Mike557', score=0)
BasicUser(name='CDPRsucks', score=0)
BasicUser(name='dalbaeb', score=0)
BasicUser(name='Jrlacoste', score=0)
BasicUser(name='taksebas', score=0)
BasicUser(name='prestonparker', score=3)
BasicUser(name='Evono', score=0)
BasicUser(name='rybinartem', score=0)
BasicUser(name='cYrox23', score=0)
BasicUser(name='MrPatriarch', score=0)
BasicUser(name='Arrienar', score=2)
BasicUser(name='Gamereviews33', score=1)
BasicUser(name='Helmet511', score=3)
BasicUser(name='Martin2236', score=0)
BasicUser(name='TIGAPLAYER420', score=0)
BasicUser(name='Unifnished', score=1)
BasicUser(name='Renzokuken', score=3)
BasicUser(name='Alanharper', score=0)
BasicUser(name='rpg-er', score=5)
BasicUser(name='xMalek', score=0)
BasicUser(name='Obabo', score=3)
BasicUser(name='RDplay', score=0)
BasicUser(name='Slice313', score=3)
BasicUser(name='Ringmaster', score=3)
BasicUser(name='Fourtheplayer', score=0)
BasicUser(name='rrafalops', score=2)
BasicUser(name='Jacob9999', score=0)
BasicUser(name='skypala', score=3)
BasicUser(name='Ead', score=4)
BasicUser(name='Lemonde', score=0)
BasicUser(name='amsterDAN85', score=3)
BasicUser(name='Jcout', score=1)
BasicUser(name='Mohammad_Irani', score=0)
BasicUser(name='PinguinoTocho', score=10)
BasicUser(name='AokiNanuk', score=10)
BasicUser(name='granularclouds', score=1)
BasicUser(name='Luke5505', score=1)
BasicUser(name='Ocbern', score=3)
BasicUser(name='jediprincess', score=1)
BasicUser(name='CDdiskError', score=0)
BasicUser(name='Bernick53', score=1)
BasicUser(name='isubado', score=2)
BasicUser(name='Underdog424', score=0)
BasicUser(name='ChazychazX', score=0)
BasicUser(name='TheVagabond01', score=3)
BasicUser(name='zeneb21', score=3)
BasicUser(name='UsedToothbrush', score=0)
BasicUser(name='Loveless88', score=1)
BasicUser(name='mattyess', score=1)
BasicUser(name='Holystik', score=0)
BasicUser(name='Koyb0417', score=0)
BasicUser(name='CYMRAK', score=0)
BasicUser(name='DaveRokentansky', score=3)
BasicUser(name='micmarduk', score=3)
BasicUser(name='farshal', score=0)
